PrecursorItem,RequiredComponents,Discipline
The Device,Essence of Ancient Knowledge,Weaponsmith
The Device,Experimental Axe Blade,Weaponsmith
The Device,Experimental Axe Haft,Weaponsmith
The Device,Legendary Inscription,Weaponsmith
The Apparatus,The Device,Weaponsmith
The Apparatus,Jar of Luminescence,Weaponsmith
The Apparatus,Spiritwood Axe Haft,Weaponsmith
The Apparatus,Amalgamated Gemstone,Weaponsmith
The Mechanism,The Apparatus,Weaponsmith
The Mechanism,Star Chart,Weaponsmith
The Mechanism,Deldrimor Steel Ingot,Weaponsmith
