PrecursorItem,RequiredComponents,Quantity,Discipline
The Device,Essence of Ancient Knowledge,1,Weaponsmith
The Device,Experimental Axe Blade,1,Weaponsmith
The Device,Experimental Axe Haft,1,Weaponsmith
The Device,Legendary Inscription,1,Weaponsmith
The Apparatus,The Device,1,Weaponsmith
The Apparatus,Jar of Luminescence,1,Weaponsmith
The Apparatus,Spiritwood Axe Haft,1,Weaponsmith
The Apparatus,Amalgamated Gemstone,10,Weaponsmith
The Mechanism,The Apparatus,1,Weaponsmith
The Mechanism,Star Chart,1,Weaponsmith
The Mechanism,Deldrimor Steel Ingot,10,Weaponsmith
