,,Search,,,Legendary Start,,,Aetherius,,,,Spark of Aetherius,,,,,Collection,,
,Mystic Clover,10,,,Mystic Clover,,,Longbow,,0.0,,Astral Starlight Essence,1,,,-,Aetherius I: Starlight,,FALSE
,Obsidian Shard,10,,,Mystic Clover,,,Spark of Aetherius,1,,,Ancient Bow Stave,1,,,,Starlight Lens Blueprint,"Purchased from Ogden in the Durmand Priory.",FALSE
,Mystic Coin,10,,,Mystic Clover,,,Gift of Aetherius,1,,,Finely Polished String,1,,,,Starlight Refraction Test,"Test the Starlight Lens against celestial spirits in Lornar's Pass.",FALSE
,Glob of Ectoplasm,10,,,Mystic Clover,,,Gift of Fortune,1,,,Celestial Bow Grip,1,,,,Vial of Condensed Starlight,"Gathered from the highest peak in Timberline Falls.",FALSE
,Mystic Crystal,10,,,Mystic Clover,,,Gift of Mastery,1,,,Development,1,,-,Veteran,Celestial Harpy Feather,Harvested from Harpies in Blazeridge Steppes.,FALSE
,Gift of Magic,1,,,Gift of Magic,,,Icy Runestone,100,,,Expertise in Celestial Wood,1,,,,Deadly Cosmic Petal,Found growing near the vista of Straits of Devastation.,FALSE
,Vial of Powerful Blood,250,,,Gift of Magic,,,Superior Sigil of Air,1,,,Spirit of the Cosmos,1,,,,Starlight Dust Sample,Found in Caledon Forest.,FALSE
,Powerful Venom Sac,250,,,Gift of Magic,,,Gift of Wood,1,,,Jar of Luminesce Varnish,1,,,,Celestial Infusion Chapter 1,"Speak to Atlalli in Timberline Falls.",FALSE
,Elaborate Totem,250,,,Gift of Magic,,,Ancient Wood Plank,250,,,Prismatic Lodestone,1,,,,Vial of Astral Essence,Recipe purchased in Kessex Hills.,FALSE
,Pile of Crystalline Dust,250,,,Gift of Magic,,,Elder Wood Plank,250,,,Cosmic Research,1,,-,,Michotl Tribe's Star Herb,Offered for purchase in Metrica Province.,FALSE
,Gift of Might,1,,,Gift of Might,,,Hard Wood Plank,250,,,Astral String Component,1,,,World Boss,Great Jungle Wurm Astral Bile,Found in the Great Jungle Wurm chest.,FALSE
,Vicious Claw,250,,,Gift of Might,,,Seasoned Wood Plank,250,,,Experimental Bow Stave,1,,,,Cosmic Honey,Purchase near Queensdale.,FALSE
,Armored Scale,250,,,Gift of Might,,,Gift of the Moon,1,,,Experimental Bow String,1,,,,Purified Moonwater,"Purchased in Sparkfly Fen.",FALSE
,Ancient Bone,250,,,Gift of Might,,,Moonstone Shard,100,,,Legendary Inscription,1,,,,Mamnoon Starlight Herb,Gathered in Dry Top.,FALSE
,Vicious Fang,250,,,Gift of Might,,,Silver Ingot,250,,,Experimental Bow Stave,1,,-,,Celestial Trial Vol 2,"Complete the celestial trials in Verdant Brink.",FALSE
,Gift of Mastery,1,,,Gift of Mastery,,,Gold Ingot,250,,,Deldrimor Steel Ingot,15,,,,Solar Flare Fragment,Gathered after defeating Tequatl in Sparkfly Fen.,FALSE
,Bloodstone Shard,1,,,Gift of Mastery,,,Platinum Ingot,250,,,Memory of Battle,50,,,Champion,Champion Starlight Core,Found in Champion Mayatl chest in Verdant Brink.,FALSE
,Obsidian Shard,250,,,Gift of Mastery,,,Darksteel Ingot,250,,,Shard of Glory,50,,,,Lunar Vial,Looted in Caledon Forest Bay.,FALSE
,Gift of Exploration,1,,,Gift of Mastery,,,Orichalcum Ingot,250,,,Experimental Bow Grip,1,,-,Adventure,Shooting Star Dust,Attained from Bugs in the Branches adventure.,FALSE
,Gift of Battle,1,,,Gift of Mastery,,,Spiritwood Plank,10,,,Spiritwood Plank,10,,,Fractal,Swampland Celestial Essence,Harvested in the Swamplands Fractal.,FALSE
,Gift of Fortune,1,,,Gift of Fortune,,,Glob of Ectoplasm,250,,,Memory of Battle,50,,,,Complete Celestial Alchemy Tome,Completed after all tests.,FALSE
,Glob of Ectoplasm,250,,,Gift of Fortune,,,Mystic Clover,77,,,Shard of Glory,50,,,-,Aetherius II: The Cosmos,,FALSE
