,,Search,,,Legendary Start,,,HOPE,,,,Prototype,,,,,Collection,,
,Mystic Clover,10,,,Mystic Clover,,,Pistol,,0.0,,Essence of Anomaly,1,,,-,HOPE I: Research,,FALSE
,Obsidian Shard,10,,,Mystic Clover,,,Prototype,1,,,Spirit of Development,1,,,,Hylek Alchemy Apprentice Tome,"Purchased from Atlalli, the Master Alchemist in the Hunting Banks of Timberline Falls.",FALSE
,Mystic Coin,10,,,Mystic Clover,,,Mystic Tribute,1,,,Finely Tuned Firing Pin,1,,,,Hylek Alchemy Chapter 1: Poisons,"Speak to Atlalli, the Master Alchemist in the Hunting Banks of Timberline Falls to start the Hylek Poison's Test once you have crafted the Vial of Potent Hylek Poison.",FALSE
,Glob of Ectoplasm,10,,,Mystic Clover,,,Gift of Condensed Magic,2,,,Advanced Ammunition Cylinder,1,,,,Vial of Potent Hylek Poison,The secrets to crafting a quality hylek poison can be found among the alchemy supplies hidden in the treasure room of the Tears of Itlaocol in Caledon Forest.,FALSE
,Mystic Crystal,10,,,Mystic Clover,,,Gift of Condensed Might,2,,,Development,1,,-,Veteran,Mosquito Blood,Harvested from Veteran Mosquitos in Caledon Forest.,FALSE
,Gift of Condensed Magic,2,,,Gift of Condensed Magic,,,Mystic Clover,77,,,Expertise in Advanced Pistol Crafting,1,,,,Deadly Nightshade,Found growing alone near the vista of Lightfoot Passage in Straits of Devastation.,FALSE
,Gift of Blood,2,,,Gift of Condensed Magic,,,Mystic Coin,250,,,Spirit of Research,1,,,,Hylek Dart Poison Gland,Found on the Hylek of Morgatl Grounds in Caledon Forest.,FALSE
,Vial of Powerful Blood,200,,,Gift of Condensed Magic,,,Gift of Maguuma Mastery,1,,,Jar of Luminesce Polish,1,,,,Hylek Alchemy Chapter 2: Healing Breath,"Speak to Atlalli, the Master Alchemist in the Hunting Banks of Timberline Falls to start the Hylek Medicine's Test once you have crafted the Vial of Healing Breath.",FALSE
,Vial of Potent Blood,500,,,Gift of Condensed Magic,,,Crystalline Ingot,250,,,Prismatic Lodestone,1,,,,Vial of Healing Breath,Recipe purchased from Matlal after successfully helping her collect truffles for her starving tribe in the Eukaryan Caves of Kessex Hills.,FALSE
,Vial of Thick Blood,100,,,Gift of Condensed Magic,,,Bloodstone Shard,1,,,Research,1,,-,,Michotl Tribe's Herbs,Offered for purchase by Cook Huelic after helping the Michotl Tribe within the Michoan Marsh of Metrica Province.,FALSE
,Vial of Blood,100,,,Gift of Condensed Magic,,,Gift of Maguuma,1,,,Essence of Concoctions,1,,,World Boss,Jar of Wurmswort,Found in the Great Jungle Wurm's chest in the Wychmire Swamp of Caledon Forest.,FALSE
,Gift of Venom,2,,,Gift of Condensed Magic,,,Gift of the Fleet,1,,,Experimental Pistol Frame,1,,,,Raw Honey,Purchase from Fiona Hastings in the apiary near Claypool in Queensdale after successfully defending her beehives from hungry bears.,FALSE
,Powerful Venom Sac,200,,,Gift of Condensed Magic,,,Gift of Tarir,1,,,Experimental Pistol Barrel,1,,,,Filtered Honey,"Recipe purchased from Atlalli, the Master Alchemist in the Hunting Banks of Timberline Falls after getting Raw Honey",FALSE
,Potent Venom Sac,500,,,Gift of Condensed Magic,,,Gift of the Chak,1,,,Legendary Inscription,1,,,,Mamnoon Aloe,Speak with Nochtli in the Prospect Valley of Dry Top about how to find this rare aloe.,FALSE
,Full Venom Sac,100,,,Gift of Condensed Magic,,,Gift of the Jungle,1,,,Experimental Pistol Barrel,1,,-,,Hylek Alchemy Chapter 3: Sun God's Breath,"Speak to Atlalli, the Master Alchemist in the Hunting Banks of Timberline Falls to start the Sun God's Breath Test once you have crafted the Sun God's Breath Flask.",FALSE
,Venom Sac,100,,,Gift of Condensed Magic,,,Gift of Insights,1,,,Deldrimor Steel Ingot,15,,,,Sun God's Breath Flask,Offered for purchase by Cuadinti after helping him prepare Southwatch Post near the Astrozintli Forelands in Sparkfly Fen.,FALSE
,Gift of Totems,2,,,Gift of Condensed Magic,,,Gift of the Itzel,1,,,Memory of Battle,50,,,Champion,Frog's Breath,Found in Champion Mayatl the Fierce's chest near the Temple of Ameyalli in Verdant Brink.,FALSE
,Elaborate Totem,200,,,Gift of Condensed Magic,,,Gift of the Nuhoch,1,,,Shard of Glory,50,,,,Sun God's Vial,Offered for purchase by Atzintli after helping the Atzintli and Topatl tribes battle the krait in the Ventry Bay of Caledon Forest.,FALSE
,Intricate Totem,500,,,Gift of Condensed Magic,,,Gift of the Exalted,1,,,Experimental Pistol Frame,1,,-,Adventure,Fire Bug Larva,Attained from the Bugs in the Branches adventure of Jaka Itzel in Verdant Brink by reaching a rank of silver or better.,FALSE
,Engraved Totem,100,,,Gift of Condensed Magic,,,Gift of Gliding,1,,,Spiritwood Plank,10,,,Fractal,Bloomhunger Sap,Harvested from the Bloomhunger in the Swamplands Fractal.,FALSE
,Totem,100,,,Gift of Condensed Magic,,,Gift of HOPE,1,,,Memory of Battle,50,,,,Complete Hylek Alchemy Tome,Complete this book by recording the three Hylek Alchemy Chapters in your Hylek Alchemy Apprentice Tome by passing each of Atlalli's tests with the tome in your inventory.,FALSE
,Gift of Dust,2,,,Gift of Condensed Magic,,,Icy Runestone,100,,,Shard of Glory,50,,,-,HOPE II: Development,,FALSE
,Pile of Crystalline Dust,200,,,Gift of Condensed Magic,,,Gift of the Catalyst,1,,,Legendary Inscription,1,,-,,The Art of Woodworking: Pistol Frame Edition Vol. 2,Speak to a Master Huntsman to discover the art of woodworking.,FALSE
