STEP,ITEM,AMOUNT,AMOUNT NEEDED,COMPLETED?,STEPS,STEPS COMPLETED
Complete Descent (Living World Chapter 4 Final Story Step),,,,N,1,0
Gathering Items Beforehand,,,,N,1,0
,Kralkatite Ore,250,250,N,,
,Difluorite Crystal,250,250,N,,
,Inscribed Shard,250,250,N,,
,Lump of Mistonium,250,250,N,,
,Branded Mass,250,250,N,,
,Mistborn Mote,250,250,N,,
,Gold,41,,,,
,Volatile Magic,1500,1500,N,,
,Trade Contract,500,,,,
,Piece of Skyscale Food (Gold or Crafted),12,12,N,,
,Grow Lamp (Gold or Crafted),1,1,N,,
,Charged Quartz Crystal (If Crafting),22,22,N,,
Jackal's Shifting Sands Mastery,,,,N,1,0
Newborn Skyscales,,,,N,1,0
Skyscale Medicine,,,,N,1,0
Skyscale Scales,,,,N,1,0
Skyscale Fever,,,,N,1,0
Skyscale Eggs,,,,N,1,0
Saving Skyscales,,,,N,1,0
Raising Skyscales,,,,N,1,0
Skyscale Care,,,,N,1,0
Skyscale Treats,,,,N,1,0
Skyscale Toys,,,,N,1,0
Skyscale Lost,,,,N,1,0
Skyscale Reflexes,,,,N,1,0
Skyscale Stealth,,,,N,1,0
Raising Skyscales,,,,N,1,0
Skyscale Saddle,,,,N,1,0
Skyscale Flight,,,,N,1,0
